family,fund,regime,mode,im_regime,im_mode,im_flat,reanchor,scenario,c,seed,drawdown,client_defaults,cm_defaults,bcm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,mutualised_l4,total_df,ccp_cash_used,im_open,im_peak,im_trough,im_mean,im_peak_to_trough,im_max_jump_pct,im_responsiveness,error
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.5,43,-26.812211413457653,11,0,0,0,0,0,0,620963051.7337389,0.0,7026039722.758195,12277112174.887691,7026039722.758195,10973303940.066704,1.7473730094523428,0.17705225689688975,0.5936800644898729,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.75,43,-43.53342000268974,28,0,0,0,0,0,0,566146119.8984239,0.0,6431598927.463269,12339811504.506912,6431598927.463269,10646999966.33297,1.9186226696778714,0.29737685490947663,0.729713220679257,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,3.0,43,-46.37109427533957,36,0,0,0,0,0,0,619521652.4815109,0.0,6005100779.696514,11814438809.487152,6005100779.696514,10479769316.715809,1.9674005887515231,0.39938439361129263,0.7684602422803548,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,3.5,43,-51.74160577397229,47,2,0,2,3,1,0,813042303.2401786,-43991039.72596836,6073441494.92967,11842061147.67385,6073441494.92967,10398334435.558037,1.9498106893035905,0.4060830679088412,0.7544876041110005,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,4.0,43,-56.44416550858475,47,3,0,3,3,1,0,1053979280.1846262,-38420889.17650795,5601212043.0475445,12207758129.082644,5601212043.0475445,10294979083.370485,2.1794850891666235,0.3816656179086959,0.9369307895054994,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.0,43,-34.007262294347065,20,0,0,0,0,0,0,486226893.7626242,0.0,6837581520.0,12268138500.0,6837581520.0,10755795019.09091,1.7942218990904257,0.25757149290996684,0.6308947504229345,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.25,43,-37.32012372797776,22,0,0,0,0,0,0,543297163.6815256,0.0,6260636430.0,11835215820.0,6260636430.0,10660929098.181818,1.8904173644850992,0.3662673061498958,0.7073081736759249,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.5,43,-40.529878513471104,27,0,0,0,0,0,0,541972935.0630982,0.0,6272781750.0,12334061700.0,6272781750.0,10679853411.818182,1.9662826145672931,0.28175592909796365,0.7675721730332756,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.75,43,-43.53342000268974,26,0,0,0,0,0,0,555213251.0706892,0.0,6518295180.0,11800283580.0,6518295180.0,10386218083.636364,1.8103328023877556,0.2973768549094764,0.6436925394621155,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,3.0,43,-46.384542968574884,38,0,0,0,0,0,0,557307386.9527591,0.0,6086047950.0,11836269720.0,6086047950.0,10514633702.727272,1.9448203197281744,0.39938439361129263,0.7505234752303865,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,3.5,43,-51.701259694266376,46,2,0,2,2,0,0,636496803.5068983,33292378.510644913,6155309880.0,12316804920.0,6155309880.0,10539243845.454546,2.001004849491022,0.40608306790884097,0.7951539807892946,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,4.0,43,-56.44416550858475,47,2,0,2,2,0,0,902127494.1627324,-8600798.501548767,5676714900.0,12180781800.0,5676714900.0,10317015915.0,2.145744856765662,0.3816656179086957,0.9101290411223402,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,1.0,43,-18.769892858743898,1,0,0,0,0,0,0,1791201463.9521546,0.0,3097765200.0,5199174225.0,3097765200.0,4742284218.181818,1.6783629130445394,0.2587298821098514,0.5388614960271734,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.0,43,-18.774375756488993,0,0,0,0,0,0,0,521985060.79097533,0.0,7434636480.0,12210122250.0,7434636480.0,11311446158.181818,1.6423294242894846,0.2587298821098514,0.5102380862206406,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.25,43,-22.916573272963646,5,0,0,0,0,0,0,693507549.8001132,0.0,6635153880.0,12632964120.0,6635153880.0,11348212719.545454,1.9039444070888678,0.35673806709061573,0.7180534580570767,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.5,43,-26.82566010669296,13,0,0,0,0,0,0,588187801.3439634,0.0,7120748880.0,12481605360.0,7120748880.0,11059868790.0,1.7528500962949278,0.17705225689688975,0.5980308200413815,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.75,43,-30.456807280225938,20,0,0,0,0,0,0,619892991.0700053,0.0,6509088000.0,12285401310.0,6509088000.0,10731593754.545454,1.8874228325074112,0.34590767554532986,0.7049294499126283,
