ts,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,symbol
2020-05-25 14:03:00+00:00,2974.75,2975.5,1,1,ESU0
2020-05-25 14:03:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 14:03:00+00:00,2984.5,2984.75,16,26,ESM0
2020-05-25 14:04:00+00:00,2984.5,2984.75,16,39,ESM0
2020-05-25 14:04:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 14:04:00+00:00,2974.75,2975.5,2,2,ESU0
2020-05-25 14:05:00+00:00,2974.75,2975.5,2,2,ESU0
2020-05-25 14:05:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 14:05:00+00:00,2984.5,2984.75,19,36,ESM0
2020-05-25 14:06:00+00:00,2984.75,2985.0,21,34,ESM0
2020-05-25 14:06:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 14:06:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 14:07:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 14:07:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 14:07:00+00:00,2984.75,2985.0,40,7,ESM0
2020-05-25 14:08:00+00:00,2984.5,2984.75,19,32,ESM0
2020-05-25 14:08:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 14:08:00+00:00,2974.75,2975.5,2,1,ESU0
2020-05-25 14:09:00+00:00,2974.5,2975.25,1,1,ESU0
2020-05-25 14:09:00+00:00,2968.75,2971.0,1,1,ESZ0
2020-05-25 14:09:00+00:00,2984.25,2984.5,26,30,ESM0
2020-05-25 14:10:00+00:00,2984.5,2984.75,17,30,ESM0
2020-05-25 14:10:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 14:10:00+00:00,2974.75,2975.5,1,2,ESU0
2020-05-25 14:11:00+00:00,2975.0,2975.75,1,1,ESU0
2020-05-25 14:11:00+00:00,2969.25,2971.5,1,1,ESZ0
2020-05-25 14:11:00+00:00,2984.75,2985.0,33,24,ESM0
2020-05-25 14:12:00+00:00,2984.5,2984.75,28,24,ESM0
2020-05-25 14:12:00+00:00,2969.0,2971.25,1,1,ESZ0
2020-05-25 14:12:00+00:00,2974.75,2975.5,1,2,ESU0
2020-05-25 14:13:00+00:00,2975.5,2976.25,1,1,ESU0
2020-05-25 14:13:00+00:00,2969.75,2972.0,1,1,ESZ0
2020-05-25 14:13:00+00:00,2985.25,2985.5,21,28,ESM0
2020-05-25 14:14:00+00:00,2985.25,2985.5,24,34,ESM0
2020-05-25 14:14:00+00:00,2969.75,2972.0,1,1,ESZ0
2020-05-25 14:14:00+00:00,2975.5,2976.25,1,1,ESU0
