member_id,is_banking,is_client,deficit,level,L1_own_df,L2_sitg,L3_pooled_df,L4_survivor_cash,L5_ccp_cash,mutualised,regime,seed,margin
30,True,False,3256079316.6381426,3,2659903265.065423,426726696.00000006,169449355.5727195,0.0,0.0,169449355.5727195,stressed,119,flat12
100,False,False,799764513.8781018,3,199906778.401806,0.0,599857735.4762958,0.0,0.0,599857735.4762958,stressed,119,flat12
101,False,False,803264449.7252767,3,249609884.82956716,324471104.09999996,229183460.79570955,0.0,0.0,229183460.79570955,stressed,123,flat12
104,False,False,913995569.1665183,3,261352825.19016823,337124359.44,315518384.5363501,0.0,0.0,315518384.5363501,stressed,124,flat12
34,True,False,3601298552.309161,3,2997919304.9351463,429272457.24000007,174106790.1340148,0.0,0.0,174106790.1340148,stressed,126,flat12
104,False,False,1166115477.6687284,3,360520300.6427081,307265529.12,498329647.9060203,0.0,0.0,498329647.9060203,stressed,128,flat12
101,False,False,939980587.311294,3,266464494.55207312,367856775.00000006,305659317.7592208,0.0,0.0,305659317.7592208,stressed,129,flat12
101,False,False,2241903965.9496303,3,754133519.5656773,369427015.98,1118343430.403953,0.0,0.0,1118343430.403953,stressed,133,flat12
33,True,False,1023992103.999999,1,1023992103.999999,0.0,0.0,0.0,0.0,0.0,stressed,134,flat12
100,False,False,735179271.790807,3,198770755.92936683,398993453.1,137415062.76144016,0.0,0.0,137415062.76144016,stressed,135,flat12
101,False,False,833526504.3947179,3,208881560.76843804,340393187.64,284251755.98627985,0.0,0.0,284251755.98627985,stressed,137,flat12
100,False,False,1110198760.2619114,3,284255969.89949435,389252950.02000004,436689840.34241694,0.0,0.0,436689840.34241694,stressed,142,flat12
100,False,False,666258857.0292953,3,196051567.17082316,372972600.00000006,97234689.85847211,0.0,0.0,97234689.85847211,stressed,143,flat12
34,True,False,3305342700.091959,3,1969356035.8347826,390924551.16,945062113.0971763,0.0,0.0,945062113.0971763,stressed,147,flat12
103,False,False,1407398917.3119893,3,397505687.22395843,326468130.12,683425099.9680308,0.0,0.0,683425099.9680308,stressed,147,flat12
103,False,False,2385158954.163249,3,642776942.3551658,330594828.96,1411787182.848083,0.0,0.0,1411787182.848083,stressed,151,flat12
101,False,False,1085413700.4038842,2,923400121.7256309,162013578.6782533,0.0,0.0,0.0,0.0,stressed,153,flat12
102,False,False,2121463175.7022293,3,713661950.2979542,508567534.20000005,899233691.2042749,0.0,0.0,899233691.2042749,stressed,153,flat12
103,False,False,816607196.1142329,3,382927554.3138872,363990408.54,69689233.2603457,0.0,0.0,69689233.2603457,stressed,157,flat12
100,False,False,674050530.2038778,3,286411035.7862988,376962644.52000004,10676849.897578955,0.0,0.0,10676849.897578955,stressed,157,flat12
103,False,False,3069899898.5510516,3,859335486.836763,288211275.0,1922353136.7142887,0.0,0.0,1922353136.7142887,stressed,158,flat12
101,False,False,2391863800.0632763,3,724516960.9265491,307863761.03999996,1359483078.0967274,0.0,0.0,1359483078.0967274,stressed,158,flat12
100,False,False,647595665.1791899,3,260071669.09419402,278359713.06,109164283.02499586,0.0,0.0,109164283.02499586,stressed,160,flat12
101,False,False,993771788.2505618,3,224588730.928545,354118024.26,415065033.06201684,0.0,0.0,415065033.06201684,stressed,161,flat12
100,False,False,984939583.4011986,3,315162617.9612634,444096381.96000004,225680583.47993517,0.0,0.0,225680583.47993517,stressed,164,flat12
100,False,False,761503666.2926902,3,256992251.74404702,398281167.90000004,106230246.64864308,0.0,0.0,106230246.64864308,stressed,166,flat12
102,False,False,556323129.0043423,3,207504148.9819143,290516849.7,58302130.32242805,0.0,0.0,58302130.32242805,stressed,168,flat12
104,False,False,1314681623.7758615,3,299159276.4673713,330942409.38,684579937.9284903,0.0,0.0,684579937.9284903,stressed,168,flat12
101,False,False,813214671.2127521,3,218265375.17350376,329269096.2,265680199.83924836,0.0,0.0,265680199.83924836,stressed,171,flat12
103,False,False,745136572.1289046,3,234183569.9879694,341248361.52,169704640.6209352,0.0,0.0,169704640.6209352,stressed,176,flat12
100,False,False,787849835.11691,3,298705833.2080865,386378168.88000005,102765833.02882344,0.0,0.0,102765833.02882344,stressed,181,flat12
103,False,False,1161558182.4071004,3,290022301.76516116,432559119.3,438976761.3419393,0.0,0.0,438976761.3419393,stressed,185,flat12
102,False,False,741119685.5508672,3,199387298.08583578,378368912.46000004,163363475.00503135,0.0,0.0,163363475.00503135,stressed,185,flat12
104,False,False,782708477.9591136,3,187460330.56760052,278869747.2,316378400.1915131,0.0,0.0,316378400.1915131,stressed,186,flat12
103,False,False,2142647382.8052206,3,753161262.5093509,426418951.20000005,963067169.0958698,0.0,0.0,963067169.0958698,stressed,187,flat12
103,False,False,2073316836.3345146,3,471244842.81774896,341156581.92,1260915411.5967655,0.0,0.0,1260915411.5967655,stressed,188,flat12
102,False,False,2214381518.8567343,3,837843661.984778,331987900.86,1044549956.0119563,0.0,0.0,1044549956.0119563,stressed,188,flat12
100,False,False,2877470393.473652,3,896844099.2165831,417001700.28000003,1563624593.9770687,0.0,0.0,1563624593.9770687,stressed,190,flat12
