regime,t,p50,p25,p75,im_frac
calm,24539,20542911174.0,19377051120.0,21312431059.5,0.04
calm,24599,20613072150.0,19431942752.25,21413539777.5,0.04
calm,24659,20490189219.0,19261497372.75,21250304478.0,0.04
calm,24719,20312976060.0,19000583957.25,21124416573.0,0.04
calm,24779,20246752453.5,18889261353.0,21063460754.25,0.04
calm,24839,20282751013.5,18960512366.25,21058025834.25,0.04
calm,24899,20294843364.0,18996675052.5,21128374170.0,0.04
calm,24959,20088546520.5,18723891926.25,20934109703.25,0.04
calm,25019,20319007293.0,19043176419.0,21196511601.75,0.04
calm,25079,20197342849.5,18856315788.75,21114725287.5,0.04
calm,25139,19994684391.0,18626462165.25,20931289215.75,0.04
calm,25199,20016046228.5,18723863373.75,20952186923.25,0.04
calm,25259,19959177964.5,18647857838.25,20927659034.25,0.04
calm,25319,20042118796.5,18717307040.25,20938469154.75,0.04
calm,25379,20059181145.0,18716491257.75,21073603950.0,0.04
calm,25439,19630657089.0,18493935180.75,20824040803.5,0.04
calm,25499,19825668360.0,18648777555.0,20958550996.5,0.04
calm,25559,19752917575.5,18645493045.5,20943051963.75,0.04
calm,25619,20022893338.5,18730620915.75,21013916175.0,0.04
calm,25679,20097476928.0,18761600335.5,21045556091.25,0.04
calm,25739,20242073394.0,18750802531.5,21189667938.75,0.04
calm,25799,20352143443.5,18893908300.5,21379313178.0,0.04
calm,25859,19505884410.0,18263087644.5,20768430627.0,0.04
calm,25919,19241957430.0,18006611082.75,20511121018.5,0.04
calm,25979,19663403103.0,18289079984.25,20955194012.25,0.04
calm,26039,19421706253.5,18111033695.25,20660477942.25,0.04
calm,26099,19672366198.5,18259838829.0,20885333753.25,0.04
calm,26159,19359960124.5,18101594623.5,20683113979.5,0.04
calm,26219,19331244364.5,18156729521.25,20569385970.0,0.04
calm,26279,19138600957.5,18020945731.5,20401910518.5,0.04
calm,26339,19673606889.0,18328857423.75,20874651945.75,0.04
calm,26399,19585363702.5,18342853650.0,20784677422.5,0.04
calm,26459,19458388372.5,18072146391.75,20575546956.0,0.04
calm,26519,19718318781.0,18278494078.5,20871347449.5,0.04
calm,26579,19820536578.0,18330524403.75,20900099090.25,0.04
calm,26639,19929633619.5,18475181626.5,20853901446.75,0.04
calm,26699,19712757199.5,18413497489.5,20646489672.0,0.04
calm,26759,19724909701.5,18404772153.75,20718340431.75,0.04
calm,26819,19486683733.5,18293496133.5,20525438090.25,0.04
